𐘀	DA
𐘁	RO
𐘂	PA
𐘃	TE
𐘄	TO
𐘅	NA
𐘆	DI
𐘇	A
𐘈	SE
𐘉	U
𐘊	PO
𐘋	ME
𐘌	QA
𐘍	ZA
𐘎	ZO
𐘏	QI
𐘕	MU
𐘗	NE
𐘘	RU
𐘙	RE
𐘚	I
𐘜	PU₂
𐘝	NI
𐘞	SA
𐘠	TI
𐘡	E
𐘢	PI
𐘣	WI
𐘤	SI
𐘥	KE
𐘦	DE
𐘧	JE
𐘩	NWA
𐘫	PU
𐘬	DU
𐘭	RI
𐘮	WA
𐘯	NU
𐘰	PA₃
𐘱	JA
𐘲	SU
𐘳	TA
𐘴	RA
𐘵	O
𐘶	JU
𐘷	TA₂
𐘸	KI
𐘹	TU
𐘺	KO
𐘻	MI
𐘼	ZE
𐘽	RA₂
𐘾	KA
𐘿	QE
𐙀	ZU
𐙁	MA
𐙂	KU
𐙄	AU
𐙆	TWE
𐘐	*21F
𐘑	*21M
𐘒	CAP
𐘓	*22F
𐘔	*22M
𐘖	*23M
𐘛	*28B
𐘟	*34
𐘨	*47
𐘪	*49
𐙃	*82
𐙅	*86
𐙇	*100-102
𐙈	*118
𐙉	GRA
𐙊	*120B
𐙋	OLIV
𐙌	AROM
𐙍	VIN
𐙎	*131B
𐙏	*131C
𐙐	*164
𐙑	*171
𐙒	*180
𐙓	*188
𐙔	GAL
𐙕	*301
𐙖	OLE
𐙗	CYP
𐙘	*304
𐙙	*305
𐙚	*306
𐙛	*307
𐙜	*308
𐙝	*309
𐙞	*309B
𐙟	*309C
𐙠	*310
𐙡	*311
𐙢	*312
𐙣	*313
𐙤	*313B
𐙥	*313C
𐙦	*314
𐙧	*315
𐙨	*316
𐙩	*317
𐙪	*318
𐙫	*319
𐙬	*320
𐙭	*321
𐙮	*322
𐙯	*323
𐙰	*324
𐙱	*325
𐙲	*326
𐙳	*327
𐙴	*328
𐙵	*329
𐙶	*330
𐙷	*331
𐙸	*332
𐙹	*333
𐙺	*334
𐙻	*335
𐙼	*336
𐙽	*337
𐙾	*338
𐙿	*339
𐚀	*340
𐚁	*341
𐚂	*342
𐚃	*343
𐚄	*344
𐚅	*345
𐚆	*346
𐚇	*347
𐚈	*348
𐚉	*349
𐚊	*350
𐚋	*351
𐚌	*352
𐚍	*353
𐚎	*354
𐚏	*355
𐚐	*356
𐚑	*357
𐚒	*358
𐚓	*359
𐚔	*360
𐚕	*361
𐚖	*362
𐚗	*363
𐚘	*364
𐚙	*365
𐚚	*366
𐚛	*367
𐚜	*368
𐚝	*369
𐚞	*370
𐚟	*371
𐚠	*400-VS
𐚡	*401-VS
𐚢	*402-VS
𐚣	*403-VS
𐚤	*404-VS
𐚥	*405-VS
𐚦	*406-VS
𐚧	*407-VS
𐚨	*408-VS
𐚩	*409-VS
𐚪	*410-VS
𐚫	*411-VS
𐚬	*412-VS
𐚭	*413-VS
𐚮	*414-VS
𐚯	*415-VS
𐚰	*416-VS
𐚱	*417-VS
𐚲	*418-VS
𐚳	DA+RO
𐚴	DA+RE+SE
𐚵	DA+*301
𐚶	RO+RO[
𐚷	TE+RO[
𐚸	DI+QE
𐘋𐙍	ME+VINa
𐚹	QA2+[?]+RE
𐚺	QA2+[?]+RE+PU
𐚻	QA2+[?]+PU
𐚼	QA2+[?]+PU+RE
𐚽	QI+SI
𐚾	CAPm+KU
𐘗𐘸	*514
𐚿	RE+SE
𐛀	*516
𐘚𐛭	I-GRA+PA
𐘚𐙋	*518
𐘚𐙕	*519
𐛁	I+*301
𐛂	SA+MU+KU
𐘞𐙍	*522
𐛃	TI+A
𐛄	TI+*412VAS
𐛅	E+[]
𐛆	E+KA
𐛇	WI+ZE[
𐛈	*528
𐛉	SI+SE
𐛊	SI+ME
𐛋	SI+ME-KI
𐛌	SI+TA2
𐘤𐙗	*533
𐛍	DU+[]
𐛎	TELA+KU
𐛏	TELA+*312
𐛐	PA3+QE
𐛑	JA+RU
𐛒	*539
𐛓	SU+MI
𐛔	RA+KA
𐛕	JU+*317+QE
𐘷𐙗	TA2+CYP
𐛖	KI+MU
𐘸𐙁𐘘	*546
𐛗	]TU+RO
𐛘	]MI+JA
𐛙	MI+JA+[]
𐛚	MI+JA+RU
𐛛	MI+JA+I
𐛜	MI+JA+KA
𐛝	MI+*301
𐛞	*554
𐛟	QE+GRA+PA
𐛠	*556
𐛡	*557
𐛢	*558
𐛢	MA+RU
𐛢	*560
𐙁𐘘𐘋	MA+RU+ME
𐙁𐘘𐘙	MA+RU+RU
𐛣	*563
𐛤	KU+[]
𐛥	*86+'*188'
𐛦	*86+*188
𐙇	VIR+[?]
𐛧	VIR+KA
𐛨	VIR+*307
𐛩	VIR+*313a
𐛪	VIR+*313b
𐛫	VIR+*313c
𐛬	GRA+DA
𐛭	GRA+PA
𐛮	GRA+QIf
𐛯	GRA+BOSm
𐛰	GRA+PA3
𐛱	GRA+QE
𐛲	GRA+KU
𐛳	GRA+B
𐛴	GRA+E
𐛵	GRA+F
𐛶	GRA+H
𐛷	GRA+K+L
𐛸	GRA+L2
𐛹	GRA+L4+L4
𐛺	*OLIV+TU
𐛻	VIN+TE
𐛼	VIN+SA
𐙍𐘤	*590
𐛽	VIN+WA
𐛾	VIN+WA
𐙍𐘲	VIN+SU
𐛿	VIN+RA
𐜀	VIN+RA
𐜁	VIN+KA
𐙍𐙉	*597
𐜂	VINb+WI
𐙒	HIDE+[?]
𐜃	HIDE+SA+B
𐜄	HIDE+SA+L
𐜅	HIDE+B
𐜆	HIDE+L
𐜇	*188+KU
𐝥𐘻	*301+MI
𐜈	*301+*311
𐝥𐚋	*351+*351
𐜉	OLE+DI
𐜊	OLE+A
𐜋	OLE+U
𐜌	OLE+QIf
𐜍	OLE+NE
𐜎	OLE+E
𐜏	OLE+RI
𐜐	OLE+TA
𐜑	OLE+RA
𐜒	OLE+KI
𐜓	OLE+KI
𐜔	OLE+KI+U
𐜕	OLE+KI+ME
𐜖	OLE+TU
𐜗	OLE+MI
𐜘	OLE+QE+DI
𐜙	CYP+D
𐙗𐝂𐜝	CYP+D+*304+PA
𐜚	CYP+E
𐜛	CYP+K
𐜜	*304+[]
𐜝	*304+PA
𐜝𐙗𐝂	*304+PA+CYP+D
𐜝𐙨𐝂	*304+PA+*316+D
𐙘𐙨	*304+[]+CYP
𐙘𐙨	*304+[]+CYP+[]
𐜞	*306+MI
𐙚𐙇𐙛	*306+VIR+*307
𐙚𐙗𐝃	*306+CYP+E
𐜟	*307+*301[
𐜠	*307+*387
𐙨𐘁𐙍	*316+TO+VINa
𐜡	*316+KI
𐙩𐘸𐙺	*317+KU+*334
